artist_name,artist_index,start_year,end_year,duration
AC/DC,85,1976,2020,44
Allman Brothers Band,9,1969,2011,42
Alvvays,63,2013,2022,9
B.B. King,96,1957,2008,51
Beach House,16,2006,2022,16
Black Market Karma,14,2012,2022,10
Black Sabbath,59,1970,2013,43
"Bobby ""Blue"" Bland",86,1958,2003,45
Boogarins,18,2015,2019,4
Boston,42,1976,2013,37
Charley Crockett,3,2015,2024,9
Chris Stapleton,81,2015,2023,8
Clarence Carter,31,1968,2011,43
Color Green,97,2022,2022,0
Common,44,1992,2024,32
Covet,84,2020,2020,0
Creedence Clearwater Revival,45,1968,1972,4
"Crosby, Stills & Nash",47,1969,1994,25
"Crosby, Stills, Nash & Young",93,1970,1999,29
Cut Worms,6,2018,2018,0
Daniel Romano,38,2013,2018,5
Dire Straits,24,1978,1991,13
Eagles,19,1972,2007,35
El Michels Affair,50,2005,2023,18
Elvis Presley,60,0,1979,1979
Eric Clapton,88,0,2018,2018
Explosions In The Sky,80,2000,2023,23
Fats Domino,48,1956,2006,50
Fleetwood Mac,20,1968,2003,35
Gang Starr,41,1989,2019,30
Gene Clark,27,1967,1987,20
Genesis,30,1969,1997,28
Gov't Mule,99,1995,2023,28
Grateful Dead,52,1967,1998,31
Jackson Browne,51,1972,2021,49
Japanese Breakfast,76,2016,2021,5
Jeff Beck,68,1975,2022,47
Jimi Hendrix,10,1968,2024,56
Joey Landreth,70,2021,2021,0
John Lennon,58,1968,2024,56
John Mayer,7,2001,2021,20
Jurassic 5,83,1998,2006,8
Kanye West,8,2002,2023,21
Kate Bush,94,1978,2011,33
Khruangbin,4,2015,2024,9
Kikagaku Moyo,98,2014,2014,0
Kurt Vile,37,2003,2022,19
Led Zeppelin,46,1969,1982,13
Lord Huron,100,2012,2021,9
Luther Vandross,72,1981,2003,22
M83,69,2001,2023,22
MF DOOM,35,1999,2021,22
Mdou Moctar,90,2013,2024,11
Nas,36,1994,2023,29
Nathaniel Rateliff & The Night Sweats,89,2015,2024,9
Nick Shoulders,77,2023,2023,0
Ofege,26,1973,1978,5
Orions Belte,32,2018,2021,3
Patsy Cline,12,1957,2012,55
Paul McCartney,25,1970,2020,50
Pink Floyd,23,1967,2014,47
Pusha T,49,2013,2022,9
Queen,56,1973,1995,22
Red Hot Chili Peppers,17,1984,2022,38
Rod Stewart,54,1969,2024,55
Rose City Band,5,2019,2023,4
Sam Cooke,55,1958,1965,7
St. Paul & The Broken Bones,95,2014,2023,9
Steely Dan,15,0,2021,2021
Stevie Wonder,22,1962,2005,43
The Allman Betts Band,39,2019,2019,0
The Beatles,2,1963,2011,48
The Brian Jonestown Massacre,74,1995,2023,28
The Jam,66,1977,1982,5
The Notorious B.I.G.,71,1994,2015,21
The Rolling Stones,91,1964,2023,59
The War On Drugs,1,2008,2021,13
Thin Lizzy,73,1971,1983,12
Tycho,57,2004,2024,20
Unknown Mortal Orchestra,40,2011,2023,12
Van Morrison,82,1967,2023,56
White Denim,53,2008,2024,16
Wooden Shjips,11,2007,2011,4
Yes,75,1969,2021,52
bdrmm,21,2020,2023,3
